,monthlyPay
1882,38
1883,45
1884,40
1885,50
1886,25
1887,10
1888,47
1889,50
1890,25
1891,35
1892,45
1893,40
1894,55
1895,45
1896,40
1897,43
1898,25
1899,10
1900,50
1901,50
1902,45
1903,75
1904,40
1905,50
1906,28
1907,15
1908,20
1909,25
1910,45
1911,50
1912,35
1913,95
1914,50
1915,30
1916,35
1917,44
1918,40
1919,55
1920,47
1921,37
1922,50
1923,15
1924,60
1925,50
1926,30
1927,34
1928,40
1929,55
1930,42
1931,50
1932,55
1933,40
1934,35
1935,40
1936,37
1937,17
1938,40
1939,32
1940,50
1941,45
1942,40
1943,60
1944,35
1945,30
1946,40
1947,32
1948,40
1949,40
1950,40
1951,60
1952,40
1953,20
1954,55
1955,35
1956,5
1957,20
1958,50
1959,50
1960,50
1961,50
1962,55
1963,24
1964,40
1965,50
1966,40
1967,38
1968,35
1969,28
1970,40
1971,38
1972,40
1973,30
1974,48
1975,45
1976,60
1977,45
1978,40
1979,45
1980,52
1981,50
1982,35
1983,38
1984,45
1985,50
1986,40
1987,35
1988,40
1989,62
1990,30
1991,35
1992,50
1993,65
1994,60
1995,40
1996,45
1997,50
1998,30
1999,35
2000,30
2001,29
2002,50
2003,50
2004,31
2005,20
2006,28
2007,10
2008,43
2009,60
2010,50
2011,36
2012,35
2013,47
2014,50
2015,45
2016,45
2017,45
2018,47
2019,45
2020,29
2021,45
2022,50
2023,35
2024,40
2025,37
2026,35
2027,29
2028,55
2029,35
2030,45
2031,50
2032,50
2033,60
2034,20
2035,50
2036,32
2037,50
2038,110
2039,30
2040,15
2041,35
2042,30
2043,25
2044,45
2045,20
2046,25
2047,10
2048,35
2049,25
2050,55
2051,40
2052,30
2053,70
2054,40
2055,33
2056,55
2057,55
2058,50
2059,15
2060,55
2061,20
2062,50
2063,70
2064,40
2065,30
2066,70
2067,50
2068,60
2069,66
2070,40
2071,60
2072,60
2073,50
2074,55
2075,40
2076,40
2077,60
2078,25
2079,55
2080,80
2081,40
2082,60
2083,60
2084,65
2085,65
2086,30
2087,60
2088,60
2089,40
2090,40
2091,10
2092,65
2093,60
2094,55
2095,45
2096,55
2097,95
2098,20
2099,50
2100,43
2101,65
2102,45
2103,130
2104,60
2105,15
2106,50
2107,10
2108,10
2109,50
2110,70
2111,50
2112,80
2113,40
2114,30
2115,35
2116,40
2117,10
2118,35
2119,55
2120,45
2121,40
2122,50
2123,63
2124,76
2125,20
2126,65
2127,45
2128,40
2129,45
2130,62
2131,25
2132,55
2133,70
2134,80
2135,29
2136,50
2137,50
2138,30
2139,115
2140,40
2141,70
2142,10
2143,45
2144,60
2145,63
2146,50
2147,10
2148,48
2149,85
2150,85
2151,65
2152,60
2153,138
2154,20
2155,60
2156,47
2157,150
2158,50
2159,75
2160,6
2161,110
2162,50
2163,50
2164,40
2165,150
2166,85
2167,85
2168,85
2169,50
2170,75
2171,60
2172,40
2173,75
2174,138
2175,60
2176,30
2177,20
2178,55
2179,100
2180,55
2181,45
2182,60
2183,60
2184,60
2185,55
2186,40
2187,55
2188,105
2189,20
2190,138
2191,40
2192,100
2193,115
2194,75
2195,40
2196,105
2197,40
2198,45
2199,45
2200,130
2201,20
2202,43
2203,60
2204,30
2205,42
2206,30
2207,45
2208,40
2209,40
2210,55
2211,43
2212,38
2213,50
2214,40
2215,70
2216,38
2217,45
2218,40
2219,35
2220,45
2221,55
2222,40
2223,45
2224,45
2225,80
2226,30
2227,50
2228,130
2229,60
2230,33
2231,3
2232,65
2233,50
2234,20
2235,42
2236,35
2237,40
2238,45
2239,50
2240,30
2241,90
2242,70
2243,45
2244,50
2245,40
2246,35
2247,40
2248,43
2249,50
2250,31
2251,90
2252,55
2253,30
2254,90
2255,80
2256,70
2257,30
2258,55
2259,90
2260,38
2261,42
2262,39
2263,90
2264,48
2265,70
2266,80
2267,30
2268,40
2269,42
2270,35
2271,55
2272,70
2273,43
2274,27
2275,20
2276,80
2277,50
2278,55
2279,40
2280,50
2281,45
2282,40
2283,40
2284,40
2285,50
2286,50
2287,45
2288,85
2289,50
2290,64
2291,70
2292,90
2293,40
2294,50
2295,120
2296,75
2297,65
2298,70
2299,53
2300,75
2301,56
2302,50
2303,70
2304,35
2305,80
2306,32
2307,35
2308,30
2309,35
2310,40
2311,30
2312,36
2313,47
2314,55
2315,25
2316,80
2317,70
2318,80
2319,47
2320,40
2321,53
2322,35
2323,40
2324,70
2325,40
2326,35
2327,30
2328,44
2329,100
2330,45
2331,80
2332,40
2333,50
2334,30
2335,35
2336,35
2337,33
2338,45
2339,35
2340,50
2341,50
2342,30
2343,60
2344,85
2345,35
2346,30
2347,40
2348,30
